,edit_count,sentiment,neg_sentiment
2018-01-29,0.26666666666666666,-0.12268832723299662,0.14166666666666666
2018-01-30,0.13333333333333333,-0.13319196303685507,0.13333333333333333
2018-01-31,0.13333333333333333,-0.13319196303685507,0.13333333333333333
2018-02-01,0.13333333333333333,-0.13319196303685507,0.13333333333333333
2018-02-02,0.13333333333333333,-0.13319196303685507,0.13333333333333333
2018-02-03,0.1,-0.09991334080696106,0.1
2018-02-04,0.1,-0.09991334080696106,0.1
2018-02-05,0.1,-0.09991334080696106,0.1
2018-02-06,0.1,-0.09991334080696106,0.1
2018-02-07,0.1,-0.09991334080696106,0.1
2018-02-08,0.1,-0.09991334080696106,0.1
2018-02-09,0.16666666666666666,-0.10240806937217713,0.11666666666666667
2018-02-10,0.16666666666666666,-0.10240806937217713,0.11666666666666667
2018-02-11,0.16666666666666666,-0.10240806937217713,0.11666666666666667
2018-02-12,0.16666666666666666,-0.10240806937217713,0.11666666666666667
2018-02-13,0.3,-0.1015482246875763,0.13333333333333333
2018-02-14,0.26666666666666666,-0.06828328371047973,0.1
2018-02-15,0.3,-0.043345922231674196,0.1
2018-02-16,0.3,-0.043345922231674196,0.1
2018-02-17,0.3,-0.043345922231674196,0.1
2018-02-18,0.3,-0.043345922231674196,0.1
2018-02-19,0.3,-0.043345922231674196,0.1
2018-02-20,0.26666666666666666,-0.010021853446960449,0.06666666666666667
2018-02-21,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-22,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-23,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-24,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-25,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-26,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-27,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-02-28,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-01,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-02,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-03,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-04,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-05,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-06,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-07,0.23333333333333334,0.02330247759819031,0.03333333333333333
2018-03-08,0.3,0.04823983907699585,0.03333333333333333
2018-03-09,0.3,0.04823983907699585,0.03333333333333333
2018-03-10,0.3,0.04823983907699585,0.03333333333333333
2018-03-11,0.23333333333333334,0.05073456764221192,0.016666666666666666
2018-03-12,0.23333333333333334,0.05073456764221192,0.016666666666666666
2018-03-13,0.23333333333333334,0.05073456764221192,0.016666666666666666
2018-03-14,0.23333333333333334,0.05073456764221192,0.016666666666666666
2018-03-15,0.6,0.052054890129301284,0.015555555555555555
2018-03-16,0.6,0.052054890129301284,0.015555555555555555
2018-03-17,0.5666666666666667,0.02711752865049574,0.015555555555555555
2018-03-18,0.5666666666666667,0.02711752865049574,0.015555555555555555
2018-03-19,0.6,0.052054890129301284,0.015555555555555555
2018-03-20,0.7,0.057573366959889724,0.02666666666666667
2018-03-21,0.7,0.057573366959889724,0.02666666666666667
2018-03-22,0.8,0.06308966623412239,0.03777777777777778
2018-03-23,0.8333333333333334,0.0954744890001085,0.03777777777777778
2018-03-24,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-25,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-26,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-27,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-28,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-29,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-30,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-03-31,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-01,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-02,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-03,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-04,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-05,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-06,0.8666666666666667,0.0667002613014645,0.07111111111111111
2018-04-07,0.8,0.04176289982265897,0.07111111111111111
2018-04-08,0.8,0.04176289982265897,0.07111111111111111
2018-04-09,0.8,0.04176289982265897,0.07111111111111111
2018-04-10,0.8,0.04176289982265897,0.07111111111111111
2018-04-11,0.8,0.04176289982265897,0.07111111111111111
2018-04-12,0.8,0.04176289982265897,0.07111111111111111
2018-04-13,0.8333333333333334,0.06955311046706306,0.07111111111111111
2018-04-14,0.4,0.06258758140934838,0.07222222222222222
2018-04-15,0.4,0.06258758140934838,0.07222222222222222
2018-04-16,0.4,0.06258758140934838,0.07222222222222222
2018-04-17,0.4,0.06258758140934838,0.07222222222222222
2018-04-18,0.36666666666666664,0.03765021993054284,0.07222222222222222
2018-04-19,0.3,-0.001186017526520622,0.09444444444444443
2018-04-20,0.3,-0.0011860175265206209,0.09444444444444443
2018-04-21,0.2,-0.006702316800753273,0.08333333333333333
2018-04-22,0.16666666666666666,-0.0390871395667394,0.08333333333333333
2018-04-23,0.13333333333333333,-0.010312911868095399,0.05
2018-04-24,0.13333333333333333,-0.010312911868095399,0.05
2018-04-25,0.13333333333333333,-0.010312911868095399,0.05
2018-04-26,0.13333333333333333,-0.010312911868095399,0.05
